comment,judge
这视频搞得我头晕，是不是说手机上看4K就像拿个芝麻看西瓜？[憨笑],负面
安卓问题是再好的优化也架不住第三方 App 耍流氓[doge],负面
骑上机车[doge],正面
下过电视剧就知道，国内的和国外的，同4k，不同画质[doge],正面
这个应该不是吧,负面
[笑cry]我感觉油管的好点，很自然，b站的有点过饱和了,正面
真的是让我们感受到了更新的力量,正面
😘,中性
不留,负面
B站 比腾讯 优酷 爱奇艺强多了,正面
人家公司一共六千人 我们 三十万 呵呵,负面
确实是非常的流畅了呀。,正面
这是特氟龙扎带，高级货，紫外线，高温，酸碱都防,负面
系统用起来还是很流畅的呀。,正面
肯定不是，我连那什么东西看youtub4k老流畅了，看b站4k卡的一批，看一会又要缓冲,正面
奈飞的画质和爱奇艺也不一样,正面
这种颜色有可能是防紫外线的高级货[doge],负面
啥鞋子 我避雷一下哈哈哈哈,正面
youtube 的4k才是真4k,正面
我记得好像当年好奇号火星车上拍的照片里也有[笑cry],正面
20年之前h.264原🆚之后h.265、hv1、h.266待[doge],负面
但不得不说这鞋子质量也太差了[允悲],正面
看起来像抓绒卫衣松紧带[笑cry],正面
我用4k屏幕看视频早就感觉糊的一逼了，都是自己下4k资源看，和平台清晰度天差地别,正面
哈哈哈哈 http://t.cn/A6E5Wf8W,正面
他咋发到YouTube的啊,负面
这可不是普通的扎带啊，这是上了太空的扎带。[允悲],正面
天才宝宝,正面
[good],中性
可惜了。这个颜值了，穿的这么破。,负面
真的找不到舔点了吗,负面
左边冰娃右边儿火娃红红火火嘿哈哈,负面
竟然是用的地球上的物质，高级[赞],正面
巴黎世家的吧,正面
看着普通，万一是个高科技材料伪装的呢[doge],正面
纹身好好看！,正面
这个看上去hdr,负面
这样看就不大了 http://t.cn/A6EY9UGR,负面
裤子蛮好看的推一下我，这个机车外套还行就是感觉这两年机车风有点太多了街道口逛一圈好多人穿,正面
好帅，留着吧,负面
不修身 有点大了 退了,负面
适合送人比如我[doge],正面
好看的，留,正面
不留,负面
这不是电影特效吗[doge],正面
很搭,正面
很正常，最先进的飞机上都有扎带呢，毕竟都是手搓出来的,负面
老公求裤子链接[舔屏][舔屏],负面
可回收利用遥遥领先！,正面
好适合,正面
帅帅[舔屏],正面
赶紧练好你的大拇指发射吧,正面
留！好帅,负面
航天材料,正面
好看，留[打call],正面
蓝色的....  嗯！ 坚固+3,正面
大了点,负面
扎死狗,正面
难看[泪],正面
裤子什么牌子呀，好好看[可怜],正面
42岁绝经了的女生,正面
好看啊为什么不留！！！,负面
图3求高清原图,正面
这人眼熟，怕不是串子,负面
公安局什么时候给集美赔款道歉[怒],负面
@豆汁儿焦圈儿爆肚儿炒肝儿,正面
是巴黎世家的鞋么,正面
还得是伊斯兰教搞得不孬 http://t.cn/A6EHI4Fc,负面
认同最后一句话,正面
哇,正面
有些人真的欠栓,正面
哈哈哈嗝,中性
随便你安卓咋样，我有ios[偷笑],负面
打人的女的被刑拘了，到底是谁该[汗],正面
上链接,负面
好 一双变两双,正面
还是你最刚[good][doge],正面
老公…,正面
衣服无所谓，人可以带走吗？,负面
太酷了宝宝[努力],正面
图三这个女的还没被开盒教育一下我是不认可的[思考],正面
链接,负面
哈哈哈哈哈哈哈哈哈哈,正面
好壮好喜欢啊,正面
可爱,正面
绝经大妈闹麻了[笑哈哈][笑哈哈][笑哈哈],正面
蹲一个链接,负面
卡西法！,中性
链接在哪里[doge],负面
造谣禁言了没？,负面
给我链接,负面
上车,正面
你猜猜还手了它会怎么说？,负面
链接,负面
问吴建豪要代言费[允悲],正面
想要链接[doge],负面
太有样了,负面
[举手]让我摸摸看料子怎么样,正面
当女生是施害者时，她同时也是受害者[doge],正面
有点小壮,负面
什么时候赔八万五？[二哈] http://t.cn/A6EHp9Ta,负面
姐姐蹲蹲帽子太美了[哇],正面
321上链接,负面
以为鞋飞出去了,正面
链接是,负面
有一种法官王浩的既视感，你要不是做了坏事心虚你为什么不还手,正面
鞋：我想开啦！,负面
[二哈]尊嘟假嘟,负面
小火人小水人[哇],负面
这货不是到处引流找骂的嘛,负面
咋了，女的没有外卖员吗[傻眼],正面
上链接,负面
想起以前看到的一句话：老中自己就是风[哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕],正面
求链接,负面
nane那能一样吗,中性
链接🤓,负面
翻译一下：以色列你打掉牙也要咽到肚子里，再敢搞什么报复行动，我可不能保证局面不失控。,负面
当时就觉得装装的，但大家都在夸，没敢说……,负面
现在看这些太搞笑了吧[跪了] http://t.cn/A6EOkQBh,负面
期待你更多的创作,正面
正常 青岛女打人也有这么说的！[二哈],正面
鞇爰尊重祝福[太开心],正面
以色列立马带上同声传译耳机,负面
[哆啦A梦微笑]ColorOS 14就已经做的不错起来了，这回15看起来更好了！期待x8和一加13上的体验了,正面
真不一般[嘘],负面
卧槽，我金粉了，呢条免吹，祝 X8 Pro 大卖[吃馕],正面
世界的官方:老中,正面
@Olivecomadie 哈哈奇葩,负面
全面战争是指啥呀,正面
一个运动员看着像rapper的话就烂了,负面
ColorOS 15 小组件的动画可以啊，不会出现过快直接断掉，真就比肩 iOS 了,负面
@ColorOS陈希 这里字也多[怒]转发一下,正面
这个视频红主要是所谓气场 穿着比较酷外加爱国滤镜吧  但脸是从来没get到过,正面
中东官府那帮子费拉不堪的松散联盟终于想起来该上班了，也不知道是该觉得好笑还是觉得好气[允悲],正面
附上官方对双引擎的介绍材料。 http://t.cn/A6EYDyR0,正面
这样的效果还是比较喜欢的呢,正面
东大谈全面战争确实挺少见的，这话一般是牢美的词[允悲],正面
[融化],正面
男人的魅力源自于女人的想象力[允悲],正面
24,负面
第一个找这个视频bgm的真是天才,负面
老中一般不撤侨，但是这次撤了,负面
哇,正面
当时就想说了，什么热血cp在男的身上就是好使，当时踩组给一帮黑料泳圈男整的乐乐爸乐乐妈梗真莫名其妙，同时首页还有几百楼审判谷爱凌的帖,正面
还是比较流畅的那一种呀,正面
当时就觉得特别装[衰],正面
中国说这话绝对不是开玩笑,负面
也太喜欢了吧。,正面
挺好,正面
路过比男足踢的好[二哈],负面
因为挡了一大半吧，虾系,负面
好看,正面
可千万别把你与老中为敌和老中与你为敌当一回事[嘻嘻],正面
我守这场到凌晨3，结果第7…不是说他不行，现在和他那些事一起看，真的觉得他对不起那个女的…,负面
这运镜绝了，一脚踢出个精彩宇宙，夸夸喵也想学踢星球了！,正面
流畅度确实不错，续航再提升些就好了。,正面
又是一个表演人格[挖鼻],正面
老中不喜欢说空话废话！[怒],负面
什么时候可以继续更新了呢？,负面
第三方试试吧！你觉得不会卡吗？,负面
很符合我对体育生的刻板印象,正面
从来没有滤镜过[允悲]真的自己放着好日子不过男的就是这么令人讨厌要女生这样上热搜早被那群男的骂成啥了就他这样还有“粉丝”维护真的无话可说,正面
@一成明月,正面
没必要现在踩，当时就是气场很足，给中国队挺长脸的,正面
还是那句话，话都说到这份上了，还听不懂就纯属活该了,负面
我擦我还在老欧啊[泪][泪][泪]补药啊,正面
这什么可夸的 换个女的被骂成啥样[费解],负面
这系统真的是超级流畅，很喜欢的呢[打call][打call][打call],正面
对特拉维夫进行去城市化运动，人人都住老木屋，家家都有钢叉坐,正面
可是这个视频也很难产生滤镜吧[doge],正面
也不帅啊,中性
莫慌，等一个人日的勿谓言之不预[二哈],正面
这个视频确实很帅，没刷到之前我完全不认识他，之后搜了下一看咦呃怎么是长这样，就没滤镜了哈哈哈哈哈,正面
系统真的是非常的丝滑了,正面
拿ogg发誓对得起谁。。。,负面
没事，反正基本上打不到国内。真要是打到了……真打到了还差这点大事小事吗？,负面
越来越顺畅了,正面
渣是渣 到真的很帅呀 这气场,正面
是这样的,正面
什么时候会更新呢？,负面
真的吃6只螃蟹会流产吗？,正面
不是，这[裂开],负面
我感觉我全程都没有特别不舒服，38+6择期剖了也没觉得多痛，现在娃13天了[哈哈],正面
螃蟹是凉性的。,正面
螃蟹那个会不会是因为没有彻底煮熟有寄生虫上面的[举手],正面
第三赛季？[doge],负面
撒情况？国庆还没过完呢[汗],负面
这裙子好短呀，看着很不方便,正面
我吃了一串山楂糖葫芦，吃完才想起来孕妇好像不能吃，还好没什么反应。,正面
所以我从来不在直播间买东西，虽然其他地方买的也好不到哪去[裂开],负面
我以为你是要表达怀孕前的事[doge],正面
感觉网红…主播这类词 已经渐渐偏向贬义性质了,正面
鞋甩飞了？,负面
说起来我们院一邻居说她的女儿的故事。因工作原因小两口在外地呆了十个多月。女儿回家来了说胃不舒服，就去医院看病了。然后就被医院留下了，给家长打电话说：快来吧，要生娃了！[汗],正面
[困][汗][黑线],负面
怪可爱的,正面
不是很理解要生了自己还不知道那种，不仅肚子大，还有很多很多身体反应啊，生过的都懂吧？哪有线，哪变黑，没生的也不奇怪为什么有这些变化？,正面
[笑cry],正面
以为鞋飞出去了[允悲],正面
真的看体质，我怀孕八个月，冬天路面有点小结冰，然后我没注意，骑着电瓶车来了个急刹，摔地上了，孩子稳稳的一点事没有，但是本人半年尾椎都是痛的[泪],正面
正在备孕中，真的是旱的旱死[泪],正面
第一反应。。。欺骗 食品 价款10倍 1000以上[微笑]已疯,负面
我以为鞋飞出去了,正面
怀了一个多月才知道，这期间每天上跳舞课体能课还喝酒了也没事……现在6个月了，都还没有孕吐过，太感激这个天使宝宝了，希望四个月后能顺产[喵喵],正面
希望孕妈妈们别心理压力太大，生孩子是个顺其自然的过程，多少有点优胜劣汰的意思，正常遵医嘱稍微注意一点就行，尽人事听天命，心情好妈妈孩子才会健康,正面
只是做PPT的时候钱到位了而已，不然每家LOGO都带颜色[doge],负面
怀的是什么？这么哪咤？,正面
山楂 螃蟹我都吃了 孕妇不该吃的我全吃了 一点事没有 娃生下来白白胖胖六斤八[允悲],正面
现在基本上所有直播间卖的食品都会提到配料表干净……[笑cry]咱就笑笑不说话🙊,正面
我怀孕医生叮嘱我说不要吃海鲜不要吃山楂桂圆，了这都是我爱吃的，忍不住吃了也没事，摔了两跤也没事[允悲],正面
有一说一，小米没花钱之前Logo也是这个配色,负面
@香迷糊线上主厨 别说我不念着你,正面
孕吐到6个月为止[允悲]还好后面一切顺利，娃也超好带，女人这辈子生一个娃足够了[泪]。实在艰辛。,正面
毕竟为普及联发科立下汗马功劳，成功把魅族所谓的高端芯片用在红米上,正面
网红能有几个真，都是卖杂牌没质量保证的，一个比一个会吹，为什么网红们直播间基本都是在带货杂牌呢，那还不是因为佣金高，都4 50%以上，反正骗了她们所谓的家人们，那些所谓的家人们还觉得自己买得值了[二哈][二哈][二哈],负面
11408的牛马前来报道[允悲],正面
哈哈哈哈，唯一一个最亮眼的,正面
不理解已经赚这么多钱了为什么还要以身试法，以前315暴光过这个内容的啊。这团队的人都不怕出事的吗[允悲],负面
70天零基础决战11408[doge],正面
黑厂应该全黑啊，以后留空那里就知道是黑厂了[doge],负面
408笑死[doge],负面
这是不是构成犯罪了，我记得卖假减肥药的都进去了,负面
最亮眼最醒目[doge],正面
？,正面
@空间直角坐标系ta爹,正面
草哈哈哈哈哈,正面
不仅仅是logo，完全可以做同色设计，还是大客户[doge][doge][doge],正面
天选我408[泪],正面
不应该用Xiaomi那个么？,负面
好漂亮的腿，这是谁,正面
土木 水利 环境 市政 多数改考408 不李姐,正面
太扎眼[允悲],正面
